# ell,D_ell
234,9.2567316723e+03
235,9.2663993776e+03
236,9.2752374219e+03
237,9.2832628799e+03
238,9.2904631127e+03
239,9.2968403384e+03
240,9.3023893465e+03
241,9.3071049266e+03
242,9.3109967250e+03
243,9.3140595313e+03
244,9.3162881351e+03
245,9.3176921827e+03
246,9.3182738920e+03
247,9.3180206242e+03
248,9.3169494542e+03
249,9.3150477429e+03
250,9.3123251368e+03
251,9.3087691248e+03
252,9.3043825630e+03
253,9.2991610069e+03
254,9.2931148686e+03
255,9.2862248469e+03
256,9.2785013540e+03
257,9.2699473738e+03
258,9.2605733183e+03
259,9.2503821714e+03
260,9.2393917736e+03
261,9.2275976803e+03
262,9.2150177322e+03
263,9.2016549130e+03
264,9.1875122065e+03
265,9.1725851682e+03
266,9.1568767819e+03
267,9.1403974598e+03
268,9.1231427573e+03
269,9.1051082299e+03
270,9.0862968615e+03
271,9.0667264926e+03
272,9.0463852502e+03
273,9.0252984032e+03
274,9.0034540788e+03
275,8.9808626891e+03
276,8.9575420746e+03
277,8.9334877909e+03
278,8.9087028216e+03
279,8.8831975791e+03
280,8.8569824754e+03
281,8.8300530661e+03
282,8.8024197632e+03
283,8.7740929790e+03
284,8.7450682689e+03
285,8.7153560452e+03
286,8.6849592915e+03
287,8.6538958485e+03
288,8.6221612716e+03
289,8.5897585445e+03
290,8.5567055080e+03
291,8.5230051456e+03
292,8.4886530130e+03
293,8.4536595223e+03
294,8.4180350856e+03
295,8.3817752585e+03
296,8.3448904531e+03
297,8.3073762248e+03
298,8.2692504141e+03
299,8.2305160050e+03
300,8.1911759812e+03
301,8.1512418063e+03
302,8.1107291493e+03
303,8.0696473025e+03
304,8.0280129864e+03
305,7.9858429216e+03
306,7.9431389717e+03
307,7.8999252858e+03
308,7.8562111559e+03
309,7.8120058743e+03
310,7.7673113047e+03
311,7.7221590244e+03
312,7.6765434689e+03
313,7.6304887870e+03
314,7.5840042708e+03
315,7.5370917843e+03
316,7.4897754763e+03
317,7.4420646390e+03
318,7.3939759928e+03
319,7.3455114016e+03
320,7.2966801576e+03
321,7.2475138380e+03
322,7.1979994498e+03
323,7.1481685704e+03
324,7.0980156352e+03
325,7.0475647931e+03
326,6.9968179079e+03
327,6.9457917001e+03
328,6.8944954618e+03
329,6.8429384853e+03
330,6.7911374911e+03
331,6.7390943430e+03
332,6.6868257615e+03
333,6.6343336104e+03
334,6.5816346103e+03
335,6.5287454816e+03
336,6.4756680883e+03
337,6.4224117224e+03
338,6.3689856761e+03
339,6.3154066700e+03
340,6.2616839962e+03
341,6.2078195186e+03
342,6.1538225293e+03
343,6.0997023204e+03
344,6.0454607559e+03
345,5.9911071279e+03
346,5.9366507285e+03
347,5.8820934216e+03
348,5.8274444993e+03
349,5.7727206821e+03
350,5.7179238340e+03
351,5.6630717290e+03
352,5.6081789276e+03
353,5.5532536154e+03
354,5.4983114067e+03
355,5.4433753437e+03
356,5.3884461840e+03
357,5.3335395414e+03
358,5.2786710302e+03
359,5.2238488361e+03
360,5.1690811447e+03
361,5.1143835701e+03
362,5.0597642982e+03
363,5.0052463712e+03
364,4.9508231182e+03
365,4.8965250101e+03
366,4.8423528041e+03
367,4.7883221144e+03
368,4.7344411266e+03
369,4.6807180265e+03
370,4.6271758565e+03
371,4.5738079457e+03
372,4.5206373365e+03
373,4.4676647862e+03
374,4.4149059089e+03
375,4.3623614620e+03
376,4.3100470595e+03
377,4.2579783156e+03
378,4.2061485593e+03
379,4.1545808330e+03
380,4.1032833224e+03
381,4.0522567848e+03
382,4.0015168344e+03
383,3.9510716570e+03
384,3.9009220097e+03
385,3.8510760785e+03
386,3.8015494773e+03
387,3.7523503920e+03
388,3.7034721514e+03
389,3.6549303697e+03
390,3.6067332326e+03
391,3.5588889259e+03
392,3.5113907785e+03
393,3.4642618329e+03
394,3.4174954181e+03
395,3.3710997198e+03
396,3.3250829238e+03
397,3.2794457874e+03
398,3.2342039248e+03
399,3.1893580932e+03
400,3.1449164784e+03
401,3.1008872963e+03
402,3.0572714557e+03
403,3.0140773234e+03
404,2.9713132668e+03
405,2.9289727963e+03
406,2.8870642789e+03
407,2.8455960819e+03
408,2.8045691440e+03
409,2.7639769758e+03
410,2.7238428009e+03
411,2.6841452733e+03
412,2.6449076167e+03
413,2.6061307699e+03
414,2.5678156717e+03
415,2.5299558325e+03
416,2.4925744763e+03
417,2.4556576851e+03
418,2.4192212544e+03
419,2.3832586946e+03
420,2.3477858012e+03
421,2.3127960848e+03
422,2.2782904840e+03
